date,facilitator_email,student_id,student_name,tier,risk_score,action,followup_due
2025-10-16,facilitator7@noon.com,S146,Layla Al-Mutairi,HIGH,45.7,one_on_one,
2025-10-16,facilitator7@noon.com,S162,Sara Al-Mutlaq,HIGH,41.8,one_on_one,
2025-10-16,facilitator7@noon.com,S152,Maryam Al-Maliki,HIGH,41.5,one_on_one,
2025-10-15,facilitator8@noon.com,S199,Khalid Al-Zahrani,CRITICAL,81.7,call_parent,
2025-10-15,facilitator8@noon.com,S194,Layla Al-Mutairi,CRITICAL,80.6,call_parent,
2025-10-15,facilitator8@noon.com,S188,Maryam Al-Mansour,CRITICAL,79.5,call_parent,
2025-10-15,facilitator8@noon.com,S182,Layla Al-Khaldi,CRITICAL,78.5,call_parent,
2025-10-15,facilitator8@noon.com,S166,Nora Al-Saud,CRITICAL,77.5,call_parent,
2025-10-16,facilitator8@noon.com,S177,Abdullah Al-Otaibi,CRITICAL,77.2,call_parent,
2025-10-16,facilitator8@noon.com,S171,Ahmad Al-Dossari,CRITICAL,76.1,call_parent,
2025-10-16,facilitator8@noon.com,S190,Nora Al-Saud,HIGH,59.6,call_parent,
2025-10-16,facilitator8@noon.com,S184,Fatima Al-Shahrani,HIGH,58.1,one_on_one,
2025-10-16,facilitator8@noon.com,S173,Omar Al-Qahtani,HIGH,55.8,one_on_one,
2025-10-17,facilitator8@noon.com,S196,Fatima Al-Ghamdi,HIGH,54.9,one_on_one,
2025-10-17,facilitator8@noon.com,S191,Hassan Al-Khalifa,HIGH,52.3,one_on_one,
2025-10-17,facilitator8@noon.com,S179,Hassan Al-Balawi,HIGH,50.6,one_on_one,
2025-10-17,facilitator8@noon.com,S168,Amal Al-Salem,HIGH,48.6,one_on_one,
2025-10-17,facilitator8@noon.com,S185,Omar Al-Qaisi,HIGH,42.3,one_on_one,
2025-10-18,facilitator8@noon.com,S174,Sara Al-Shammari,HIGH,42.0,one_on_one,
